ID,ï»¿X,Y,ID_NODO,TIPO_NODO,,
90,-407679.1505,4930066.636,ZT_079-04-069,Centroide_ZT,,
91,-410661.1387,4927811.431,ZT_079-04-070,Centroide_ZT,,
92,-410006.7133,4928204.372,ZT_079-04-071,Centroide_ZT,,
93,-409067.6451,4928668.957,ZT_079-04-072,Centroide_ZT,,
94,-408118.6372,4929000.52,ZT_079-04-073,Centroide_ZT,,
95,-410124.9155,4927580.085,ZT_079-04-074,Centroide_ZT,,
96,-409270.1764,4927713.594,ZT_079-04-075,Centroide_ZT,,
97,-408661.4028,4927817.33,ZT_079-04-076,Centroide_ZT,,
98,-407820.2553,4928322.388,ZT_079-04-077,Centroide_ZT,,
99,-408047.088,4927681.602,ZT_079-04-078,Centroide_ZT,,
100,-407551.0052,4927368.499,ZT_079-04-079,Centroide_ZT,,
101,-409256.1344,4928206.45,ZT_079-04-080,Centroide_ZT,,
102,-409547.6358,4935985.199,ZT_079-05-081,Centroide_ZT,,
103,-410094.9235,4935690.527,ZT_079-05-082,Centroide_ZT,,
104,-409357.7636,4935679.528,ZT_079-05-083,Centroide_ZT,,
105,-409119.1837,4935620.599,ZT_079-05-084,Centroide_ZT,,
106,-410322.7532,4934552.699,ZT_079-05-085,Centroide_ZT,,
107,-409919.5016,4934803.162,ZT_079-05-086,Centroide_ZT,,
108,-409643.4429,4934870.156,ZT_079-05-087,Centroide_ZT,,
109,-409183.8871,4934491.925,ZT_079-05-088,Centroide_ZT,,
110,-410177.0771,4933459.028,ZT_079-05-089,Centroide_ZT,,
111,-409194.2558,4933396.683,ZT_079-05-090,Centroide_ZT,,
112,-408459.0758,4933383.926,ZT_079-05-091,Centroide_ZT,,
113,-410445.7537,4932366.753,ZT_079-05-092,Centroide_ZT,,
114,-409722.3399,4932282.806,ZT_079-05-093,Centroide_ZT,,
115,-409057.5251,4932314.542,ZT_079-05-094,Centroide_ZT,,
116,-408303.8103,4932372.332,ZT_079-05-095,Centroide_ZT,,
117,-410185.8405,4931360.843,ZT_079-05-096,Centroide_ZT,,
118,-409199.0881,4931078.14,ZT_079-05-097,Centroide_ZT,,
119,-408557.5994,4931524.847,ZT_079-05-098,Centroide_ZT,,
120,-407999.3605,4931109.988,ZT_079-05-099,Centroide_ZT,,
121,-410622.2504,4930401.381,ZT_079-05-100,Centroide_ZT,,
122,-409887.7119,4930262.948,ZT_079-05-101,Centroide_ZT,,
123,-408637.4697,4930742.675,ZT_079-05-102,Centroide_ZT,,
124,-408906.0424,4930174.219,ZT_079-05-103,Centroide_ZT,,
125,-413042.987,4934239.598,ZT_079-06-104,Centroide_ZT,,
126,-412351.7598,4934134.107,ZT_079-06-105,Centroide_ZT,,
127,-411635.928,4934688.744,ZT_079-06-106,Centroide_ZT,,
128,-410961.1573,4934905.679,ZT_079-06-107,Centroide_ZT,,
129,-411822.2271,4933698.391,ZT_079-06-108,Centroide_ZT,,
130,-411024.1785,4934162.295,ZT_079-06-109,Centroide_ZT,,
131,-412710.4053,4933002.992,ZT_079-06-110,Centroide_ZT,,
132,-412209.0783,4932923.384,ZT_079-06-111,Centroide_ZT,,
133,-411495.7249,4933023.432,ZT_079-06-112,Centroide_ZT,,
134,-410981.3122,4933126.157,ZT_079-06-113,Centroide_ZT,,
